jemand, somebody
Arzt, doctor
vielleich, perhaps
helfen, help
hören, hear
nimm, take
brauchen, need
brauchst, need
soll, should
rufen, call 
Wissen, know
Haut, skin
zahlen, pay
bezahlt, paid
ohne, without
weißt, know
Schenk, gift
drin, inside
wohn, live
später, later
Tiere, animals
retten, save
komisch, funny
Geschwister, sibling
zusammen, together
fahren, drive
Fahrrad, bike
zeigen, show
Zukunft, future
künstliche, artificial 
schaffen, create
Ausgang, exit
manchmal, sometimes
beeindrucken, impress
weil, because
fehlerhafte, faulty
trägt, wear
beispielsweise, for example
aufgrund, because
Erbkrankheit, hereditary disease
möglich, possible
verändert, change
Ziele, goals
glücklich, happy
Forscht, research
Menschen, people
immer, always
Luft, air
anhalten, stop
anders, different
gesprochen, speak
süßer, cute
gelöst, solve
ersetzen, replace
wichtig, important
ewig, eternal
